ID,SHOP,GENDER,AGE,M.S.,NCHILD,INCOME,S.E.G.,MAINSHOP,BUYFOOD,AMOUNT,PAYBY,REGULAR,VISITS
369,4,1,29,1,0,14112,4,1,1,43.22000122,1,1,2
370,5,0,18,2,0,17148,4,1,1,57.81000137,1,1,2
371,2,1,69,2,1,17268,3,0,1,20.80999947,2,0,0
372,4,0,43,2,2,9792,5,1,1,63.18000031,1,1,2
373,2,1,36,2,1,21924,3,1,1,50.50999832,1,1,2
374,2,0,19,2,2,21564,3,1,1,60.63000107,1,1,1
375,5,0,21,2,2,16200,3,1,1,56.11999893,1,1,4
376,1,1,17,1,0,,5,1,1,32.47000122,1,1,2
377,4,0,76,4,2,9864,3,1,1,53.88999939,1,1,5
378,4,0,29,2,3,12348,4,0,1,49.11000061,1,1,1
379,2,0,,3,0,9036,5,1,1,20.28000069,1,1,3
380,3,0,24,2,3,6576,5,1,1,76.01999664,3,1,4
381,5,0,23,1,1,13368,4,1,1,51.13000107,1,1,4
382,5,0,36,1,2,17844,3,1,1,37.84999847,2,1,1
383,2,0,57,2,1,15552,4,1,1,24.79999924,1,1,2
384,5,1,29,2,1,11028,4,0,1,11.15999985,1,1,2
385,5,1,30,3,2,10704,4,1,1,56.13000107,1,1,3
386,5,0,19,1,1,9036,5,1,1,53.09000015,1,1,3
387,4,0,21,2,2,10884,4,1,1,30.42000008,1,1,2
388,5,0,37,1,3,11004,4,1,0,51.25999832,1,0,0
389,2,0,22,2,1,22536,2,1,1,55.11000061,2,1,1
390,3,0,31,4,1,,5,1,1,29.89999962,1,1,3
391,1,0,32,2,4,18612,3,1,1,72.94000244,2,1,1
392,5,0,,1,2,16632,4,1,1,47.97000122,1,1,3
393,3,0,21,2,1,10416,4,1,1,69.01999664,1,1,2
394,3,0,19,2,2,15192,4,1,1,58.22000122,1,1,5
395,4,0,25,2,1,11316,5,1,1,37.75999832,1,1,2
396,1,0,26,2,3,10524,5,0,1,26.27000046,1,1,1
397,1,1,31,1,0,24708,3,1,1,37.97999954,1,1,1
398,5,0,31,1,2,9276,5,1,1,26.30999947,1,1,1
399,3,0,67,2,4,15612,2,1,1,55.61000061,2,1,5
400,2,1,30,2,3,20484,3,1,1,86.93000031,2,0,0
401,5,0,35,3,2,11160,5,1,1,56.08000183,1,1,2
402,3,1,,3,1,17412,4,1,1,58.15000153,1,1,4
403,5,1,39,1,0,18252,3,1,1,29.09000015,2,1,2
404,5,0,26,2,7,20004,3,0,1,24.37999916,1,1,2
405,4,0,32,2,4,16068,4,1,1,81.04000092,1,1,2
406,5,0,24,1,2,17328,4,1,1,39.74000168,1,1,4
407,2,1,45,1,0,,5,1,1,42.99000168,1,0,0
408,2,0,18,1,0,10512,5,1,1,28.81999969,1,1,1
409,5,0,23,2,2,18288,3,1,1,39.25,2,1,3
410,3,0,29,1,2,19176,3,1,1,59.72999954,2,1,2
411,4,1,56,4,0,18936,3,1,1,28.85000038,1,1,4
412,4,0,33,2,3,15600,4,1,1,57.13000107,1,1,3
413,5,1,37,2,2,22332,3,1,1,45.02000046,1,1,2
